family,task,backbone,split,mode,condition,n,physical_task_seeds,success_percent,final_success_percent,support_successes,eligible_n,eligible_success_percent,metric,max,mean,median,min,q25,q75,actual_calls_mean,success_calls_mean,budget_penalized_commands_mean,failures
core,reacher,transformer,test,factorized,"[0, 2]",192,64,45.833333333333336,45.833333333333336,0,192,45.833333333333336,wrapped_joint_error_rad,0.8758507996257086,0.22062391670719136,0.12263073156986093,0.0052598590384859084,0.043595333262850186,0.3768546684540999,42.911458333333336,34.53409090909091,42.911458333333336,104
core,reacher,transformer,test,factorized,"[1, 0]",192,64,32.8125,32.8125,0,192,32.8125,wrapped_joint_error_rad,3.087580981750469,0.49196475373243603,0.3680170099507095,0.0021813692910033146,0.05284291483539373,0.7521289481957281,44.208333333333336,32.34920634920635,44.208333333333336,129
core,reacher,transformer,test,factorized,"[1, 1]",192,64,26.5625,26.5625,0,192,26.5625,wrapped_joint_error_rad,2.3436171774109855,0.5103434494997762,0.35871041945895443,0.005251739018552789,0.0632159483567428,0.7159798263336268,45.369791666666664,32.568627450980394,45.369791666666664,141
core,reacher,transformer,test,factorized,"[1, 2]",192,64,26.5625,26.5625,0,192,26.5625,wrapped_joint_error_rad,2.5442320246054044,0.5025997336425297,0.3653712916382055,0.014627490820744899,0.061767062674945805,0.7627193114762767,45.208333333333336,31.96078431372549,45.208333333333336,141
core,reacher,transformer,test,factorized,"[2, 0]",192,64,42.1875,42.1875,0,192,42.1875,wrapped_joint_error_rad,0.8702435670657411,0.23705125153389772,0.18519169521022627,0.011274225327339045,0.04645853267712758,0.38252154078563483,42.291666666666664,31.728395061728396,42.291666666666664,111
core,reacher,transformer,test,factorized,"[2, 1]",192,64,45.3125,45.3125,0,192,45.3125,wrapped_joint_error_rad,1.0522849649586319,0.23932207276376208,0.161554393213027,0.005516798766008763,0.04382813887019064,0.4060049894147531,42.510416666666664,33.47126436781609,42.510416666666664,105
core,reacher,transformer,test,factorized,"[2, 2]",192,64,40.625,40.625,0,192,40.625,wrapped_joint_error_rad,1.4114893871985486,0.2553999710797361,0.1966162950706149,0.0036386740805609843,0.04538623785817217,0.41349659322802584,43.09375,33.0,43.09375,114
core,reacher,transformer,test,factorized_unpaired,all,1728,64,35.3587962962963,35.3587962962963,0,1728,35.3587962962963,wrapped_joint_error_rad,3.0452937818007624,0.37299874294383434,0.27817790568005013,0.002764330781366682,0.04845412734885207,0.5576374408379128,44.33506944444444,33.97872340425532,44.33506944444444,1117
core,reacher,transformer,test,factorized_unpaired,"[0, 0]",192,64,38.020833333333336,38.020833333333336,0,192,38.020833333333336,wrapped_joint_error_rad,0.8787733960792851,0.2568885457583336,0.21067844634280183,0.014185334996022102,0.04584930966896518,0.43115099302578436,43.651041666666664,33.3013698630137,43.651041666666664,119
core,reacher,transformer,test,factorized_unpaired,"[0, 1]",192,64,50.0,50.0,0,192,50.0,wrapped_joint_error_rad,0.8886364495812819,0.19276944110525787,0.06446957027989664,0.002764330781366682,0.04024464432326725,0.29799016569125414,42.770833333333336,35.541666666666664,42.770833333333336,96
core,reacher,transformer,test,factorized_unpaired,"[0, 2]",192,64,43.75,43.75,0,192,43.75,wrapped_joint_error_rad,0.9195836925343268,0.23736495143477945,0.1795352424153029,0.003935389644137633,0.043191118938258624,0.3818198444444187,42.96875,33.92857142857143,42.96875,108
core,reacher,transformer,test,factorized_unpaired,"[1, 0]",192,64,20.3125,20.3125,0,192,20.3125,wrapped_joint_error_rad,2.773936226622393,0.6618302191585073,0.6122199331433992,0.01137899902407868,0.3219168406534097,0.9590549106686727,46.067708333333336,30.641025641025642,46.067708333333336,153
core,reacher,transformer,test,factorized_unpaired,"[1, 1]",192,64,23.4375,23.4375,0,192,23.4375,wrapped_joint_error_rad,3.0452937818007624,0.6050892736629865,0.5198494574394624,0.011417207922633857,0.1216264561809261,0.9514076787916078,45.96875,32.8,45.96875,147
